Esperienza 1;;;;;;;;;;;
;frequenza;V genfun (1);V ampl (2);freq osci (1);freq osci (2);;;;;;
;102 Hz;4 V;9.6 V;100 Hz;104 Hz;;;;;;
;3000;1.16;1.64;#VALORE!;;;;;;;
;6400;1.16;1.68;#VALORE!;;;;;;;
;11000;1.16;1.68;#VALORE!;;;;;;;
;14000;1.16;1.68;#VALORE!;;;;;;;
;20000;1.16;1.68;#VALORE!;;;;;;;
;21000;1.16;1.68;#VALORE!;;;;;;;
;27000;1.16;1.68;#VALORE!;;;;;;;
;55000;1.16;1.56;#VALORE!;;;;;;;
;69000;1.16;1.48;#VALORE!;;;;;;;
;91000;1.16;;;;;;;;;
17/11/2022;;;;;;;;;;;
;30.6 Khz;1.16;1.66;#VALORE!;45-55Khz la sinusoide diventa triangolare;;;;;;
;36.6;1.16;1.66;#VALORE!;;;;;;;
;42.5;1.16;1.64;#VALORE!;;;;;;;
;50.8;1.16;1.6;#VALORE!;;;;;;;
;53.5;1.16;1.6;#VALORE!;;;;;;;
;69;1.16;1.5;#VALORE!;;;;;;;
;79.9;1.16;1.36;#VALORE!;;;;;;;
;88;1.16;1.24;#VALORE!;;;;;;;
;99.5;1.16;1.12;#VALORE!;;;;;;;
;74.7;1.16;1.42;#VALORE!;;;;;;;
;77.9;1.16;1.4;#VALORE!;;;;;;;
;94.6;1.16;1.18;#VALORE!;;;;;;;
;90.7;1.16;1.22;#VALORE!;;;;;;;
;93.7;1.18;1.18;#VALORE!;;;;;;;
;109.4;1.18;1.02;#VALORE!;;;;;;;
;118.3;1.18;0.94;#VALORE!;;;;;;;
;123.4;1.18;0.9;#VALORE!;;;;;;;
;138.7;1.18;0.82;#VALORE!;;;;;;;
;157.6;1.18;0.72;#VALORE!;;;;;;;
;168.8;1.18;0.68;#VALORE!;;;;;;;
;184.7;1.18;0.6;#VALORE!;;;;;;;
;192.4;1.18;0.58;#VALORE!;;;;;;;
;205.4;1.18;0.54;#VALORE!;;;;;;;
;213;1.18;0.52;#VALORE!;;;;;;;
;218.2;1.18;0.5;#VALORE!;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
capacità;freq;v in;vout;vout/vin;2piRCf;resistenza;;;;;
0.000001;90;1;0.18;#VALORE!;#VALORE!;214;;#VALORE!;;;
1,00E-06;130;1;0,24;0,24;1,75E-01;214;;;;;
1,00E-06;160;1;0,28;0,28;2,15E-01;214;;;;;
1,00E-06;212;1;0,34;0,34;2,85E-01;214;;;;;
1,00E-06;346;1;0,496;0,496;4,65E-01;214;;;;;
1,00E-06;502;1;0,688;0,688;6,75E-01;214;;;;;
1,00E-06;606;0,98;0,84;0,857142857;8,14E-01;214;;;;;
1,00E-06;647;0,98;0,9;0,918367347;8,70E-01;214;;;;;
1,00E-06;750;0,96;1;1,041666667;1,01E+00;214;;;;;
1,00E-06;945;0,96;1,22;1,270833333;1,27E+00;214;;;;;
1,00E-06;1412;0,9;1,7;1,888888889;1,90E+00;214;;;;;
1,00E-06;1930;0,82;2,12;2,585365854;2,59E+00;214;;;;;
1,00E-06;2980;0,7;2,72;3,885714286;4,00E+00;214;;;;;
1,00E-06;4600;0,54;3,28;6,074074074;6,18E+00;214;;;;;
1,00E-06;7000;0,48;3,64;7,583333333;9,41E+00;214;;;;;
1,00E-06;10430;0,24;3,8;15,83333333;1,40E+01;214;;;;;
