Esperienza 1;;;;;;;;;;;
;frequenza;V genfun (1);V ampl (2);freq osci (1);freq osci (2);;;;;;
;102 Hz;4 V;9,6 V;100 Hz;104 Hz;;;;;;
;140;4;9,6;147;139;;;;;;
;191;4;9,6;192;192;;;;;;
;208;4;9,6;208;208;;;;;;
;218;4;9,6;227;208;;;;;;
;6;4;9,6;6,25;6,25;;;;;;
;17;4;9,6;17;17;;;;;;
;;;;;;;;;;;
secondo pt;;;;;;;;;;;
RESISTENZE R1=214 R2=671;;;;;;;;;poche misure ma va bene lo stesso perchè sticazzi tanto il plot viene uguale;;
;frequenza;V genfun (1);V ampl (2);freq osci (1);freq osci (2);Vampl/Vgenfun;;;;;
;90,7;1,16;1,22;1,051724138;;;;;;;
;93,7;1,18;1,18;1;;;;;;;
;109,4;1,18;1,02;0,86440678;;;;;;;
;118,3;1,18;0,94;0,796610169;;;;;;;
;123,4;1,18;0,9;0,762711864;;;;;;;
;138,7;1,18;0,82;0,694915254;;;;;;;
;157,6;1,18;0,72;0,610169492;;;;;;;
;168,8;1,18;0,68;0,576271186;;;;;;;
;184,7;1,18;0,6;0,508474576;;;;;;;
;192,4;1,18;0,58;0,491525424;;;;;;;
;205,4;1,18;0,54;0,457627119;;;;;;;
;213;1,18;0,52;0,440677966;;;;;;;
;218,2;1,18;0,5;0,423728814;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
capacità;freq;v in;vout;vout/vin;2piRCf;resistenza;;;;;
1,00E-06;90;1;0,18;0,18;1,21E-01;214;;1,34E-03;;;
1,00E-06;130;1;0,24;0,24;1,75E-01;214;;;;;
1,00E-06;160;1;0,28;0,28;2,15E-01;214;;;;;
1,00E-06;212;1;0,34;0,34;2,85E-01;214;;;;;
1,00E-06;346;1;0,496;0,496;4,65E-01;214;;;;;
1,00E-06;502;1;0,688;0,688;6,75E-01;214;;;;;
1,00E-06;606;0,98;0,84;0,857142857;8,14E-01;214;;;;;
1,00E-06;647;0,98;0,9;0,918367347;8,70E-01;214;;;;;
1,00E-06;750;0,96;1;1,041666667;1,01E+00;214;;;;;
1,00E-06;945;0,96;1,22;1,270833333;1,27E+00;214;;;;;
1,00E-06;1412;0,9;1,7;1,888888889;1,90E+00;214;;;;;
1,00E-06;1930;0,82;2,12;2,585365854;2,59E+00;214;;;;;
1,00E-06;2980;0,7;2,72;3,885714286;4,00E+00;214;;;;;
1,00E-06;4600;0,54;3,28;6,074074074;6,18E+00;214;;;;;
1,00E-06;7000;0,48;3,64;7,583333333;9,41E+00;214;;;;;
1,00E-06;10430;0,24;3,8;15,83333333;1,40E+01;214;;;;;
